Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;481582932;347;985;0;0;0;0;0.0.0.0;1478086374103;1478086374088;15;
0;0;0.0.0.0;0;49870;481582932;347;985;0;1;0;0;0.0.0.0;1478086374106;1478086374088;18;
0;0;0.0.0.0;0;49870;481582932;347;985;0;1;1;0;0.0.0.0;1478086374107;1478086374088;19;
0;0;0.0.0.0;0;49870;481582932;347;985;0;1;2;0;0.0.0.0;1478086374107;1478086374088;19;
0;0;0.0.0.0;0;49870;481582932;347;985;0;1;3;0;0.0.0.0;1478086374107;1478086374088;19;
0;0;0.0.0.0;0;49870;481582932;347;985;0;2;0;0;0.0.0.0;1478086374108;1478086374088;20;
0;0;0.0.0.0;0;49870;481582932;347;985;0;2;1;0;0.0.0.0;1478086374108;1478086374088;20;
0;0;0.0.0.0;0;49870;481582932;347;985;0;2;2;0;0.0.0.0;1478086374109;1478086374088;21;
0;0;0.0.0.0;0;49870;481582932;347;985;0;2;3;0;0.0.0.0;1478086374109;1478086374088;21;
0;0;0.0.0.0;0;49870;481582932;347;985;0;3;0;0;0.0.0.0;1478086374109;1478086374088;21;
0;0;0.0.0.0;0;49870;481582932;347;985;0;3;1;0;0.0.0.0;1478086374109;1478086374088;21;
0;0;0.0.0.0;0;49870;481582932;347;985;0;3;2;0;0.0.0.0;1478086374109;1478086374088;21;
0;0;0.0.0.0;0;49870;481582932;347;985;0;3;3;0;0.0.0.0;1478086374109;1478086374088;21;
0;0;0.0.0.0;0;49870;481582932;347;985;0;4;0;0;0.0.0.0;1478086374110;1478086374088;22;
0;0;0.0.0.0;0;49870;481582932;347;985;0;4;1;0;0.0.0.0;1478086374110;1478086374088;22;
0;0;0.0.0.0;0;49870;481582932;347;985;0;4;2;0;0.0.0.0;1478086374110;1478086374088;22;
0;0;0.0.0.0;0;49870;481582932;347;985;0;4;3;0;0.0.0.0;1478086374110;1478086374088;22;
0;0;0.0.0.0;0;49870;481582932;347;985;0;5;0;0;0.0.0.0;1478086374112;1478086374088;24;
0;0;0.0.0.0;0;49870;481582932;347;985;0;5;1;0;0.0.0.0;1478086374113;1478086374088;25;
0;0;0.0.0.0;0;49870;481582932;347;985;0;5;2;0;0.0.0.0;1478086374113;1478086374088;25;
0;0;0.0.0.0;0;49870;481582932;347;985;0;5;3;0;0.0.0.0;1478086374113;1478086374088;25;
0;0;0.0.0.0;0;49870;481582932;347;985;0;6;0;0;0.0.0.0;1478086374115;1478086374088;27;
0;0;0.0.0.0;0;49870;481582932;347;985;0;6;1;0;0.0.0.0;1478086374115;1478086374088;27;
0;0;0.0.0.0;0;49870;481582932;347;985;0;6;2;0;0.0.0.0;1478086374115;1478086374088;27;
0;0;0.0.0.0;0;49870;481582932;347;985;0;6;3;0;0.0.0.0;1478086374115;1478086374088;27;
0;0;0.0.0.0;0;49870;481582932;347;985;0;7;0;0;0.0.0.0;1478086374116;1478086374088;28;
0;0;0.0.0.0;0;49870;481582932;347;985;0;7;1;0;0.0.0.0;1478086374116;1478086374088;28;
0;0;0.0.0.0;0;49870;481582932;347;985;0;7;2;0;0.0.0.0;1478086374116;1478086374088;28;
0;0;0.0.0.0;0;49870;481582932;347;985;0;7;3;0;0.0.0.0;1478086374116;1478086374088;28;
0;0;0.0.0.0;0;49870;481582932;347;985;0;8;0;0;0.0.0.0;1478086374116;1478086374088;28;
0;0;0.0.0.0;0;49870;481582932;347;985;0;8;1;0;0.0.0.0;1478086374116;1478086374088;28;
0;0;0.0.0.0;0;49870;481582932;347;985;0;8;2;0;0.0.0.0;1478086374116;1478086374088;28;
0;0;0.0.0.0;0;49870;481582932;347;985;0;8;3;0;0.0.0.0;1478086374117;1478086374088;29;
0;0;0.0.0.0;0;49870;481582932;347;985;0;9;0;0;0.0.0.0;1478086374118;1478086374088;30;
0;0;0.0.0.0;0;49870;481582932;347;985;0;9;1;0;0.0.0.0;1478086374118;1478086374088;30;
0;0;0.0.0.0;0;49870;481582932;347;985;0;9;2;0;0.0.0.0;1478086374118;1478086374088;30;
0;0;0.0.0.0;0;49870;481582932;347;985;0;9;3;0;0.0.0.0;1478086374118;1478086374088;30;
0;0;0.0.0.0;0;49870;481582932;347;985;0;10;0;0;0.0.0.0;1478086374118;1478086374088;30;
0;0;0.0.0.0;0;49870;481582932;347;985;0;10;1;0;0.0.0.0;1478086374118;1478086374088;30;
0;0;0.0.0.0;0;49870;481582932;347;985;0;10;2;0;0.0.0.0;1478086374119;1478086374088;31;
0;0;0.0.0.0;0;49870;481582932;347;985;0;10;3;0;0.0.0.0;1478086374119;1478086374088;31;
0;0;0.0.0.0;0;49870;481582932;347;985;0;11;0;0;0.0.0.0;1478086374119;1478086374088;31;
0;0;0.0.0.0;0;49870;481582932;347;985;0;11;1;0;0.0.0.0;1478086374119;1478086374088;31;
0;0;0.0.0.0;0;49870;481582932;347;985;0;11;2;0;0.0.0.0;1478086374119;1478086374088;31;
0;0;0.0.0.0;0;49870;481582932;347;985;0;11;3;0;0.0.0.0;1478086374119;1478086374088;31;
0;0;0.0.0.0;0;49870;481582932;347;985;0;12;0;0;0.0.0.0;1478086374120;1478086374088;32;
0;0;0.0.0.0;0;49870;481582932;347;985;0;12;1;0;0.0.0.0;1478086374123;1478086374088;35;
0;0;0.0.0.0;0;49870;481582932;347;985;0;12;2;0;0.0.0.0;1478086374123;1478086374088;35;
0;0;0.0.0.0;0;49870;481582932;347;985;0;12;3;0;0.0.0.0;1478086374123;1478086374088;35;
0;0;0.0.0.0;0;49870;481582932;347;985;0;13;0;0;0.0.0.0;1478086374123;1478086374088;35;
0;0;0.0.0.0;0;49870;481582932;347;985;0;13;1;0;0.0.0.0;1478086374123;1478086374088;35;
0;0;0.0.0.0;0;49870;481582932;347;985;0;13;2;0;0.0.0.0;1478086374123;1478086374088;35;
0;0;0.0.0.0;0;49870;481582932;347;985;0;13;3;0;0.0.0.0;1478086374124;1478086374088;36;
0;0;0.0.0.0;0;49870;481582932;347;985;0;14;0;0;0.0.0.0;1478086374125;1478086374088;37;
0;0;0.0.0.0;0;49870;481582932;347;985;0;14;1;0;0.0.0.0;1478086374125;1478086374088;37;
0;0;0.0.0.0;0;49870;481582932;347;985;0;14;2;0;0.0.0.0;1478086374125;1478086374088;37;
0;0;0.0.0.0;0;49870;481582932;347;985;0;14;3;0;0.0.0.0;1478086374125;1478086374088;37;
0;0;0.0.0.0;0;49870;481582932;347;985;0;15;0;0;0.0.0.0;1478086374125;1478086374088;37;
0;0;0.0.0.0;0;49870;481582932;347;985;0;15;1;0;0.0.0.0;1478086374125;1478086374088;37;
0;0;0.0.0.0;0;49870;481582932;347;985;0;15;2;0;0.0.0.0;1478086374125;1478086374088;37;
0;0;0.0.0.0;0;49870;481582932;347;985;0;15;3;0;0.0.0.0;1478086374125;1478086374088;37;
0;0;0.0.0.0;0;49870;481582932;347;985;0;16;0;0;0.0.0.0;1478086374126;1478086374088;38;
0;0;0.0.0.0;0;49870;481582932;347;985;0;16;1;0;0.0.0.0;1478086374126;1478086374088;38;
0;0;0.0.0.0;0;49870;481582932;347;985;0;16;2;0;0.0.0.0;1478086374126;1478086374088;38;
0;0;0.0.0.0;0;49870;481582932;347;985;0;16;3;0;0.0.0.0;1478086374126;1478086374088;38;
0;0;0.0.0.0;0;49870;481582932;347;985;0;17;0;0;0.0.0.0;1478086374127;1478086374088;39;
0;0;0.0.0.0;0;49870;481582932;347;985;0;17;1;0;0.0.0.0;1478086374127;1478086374088;39;
0;0;0.0.0.0;0;49870;481582932;347;985;0;17;2;0;0.0.0.0;1478086374127;1478086374088;39;
0;0;0.0.0.0;0;49870;481582932;347;985;0;17;3;0;0.0.0.0;1478086374127;1478086374088;39;
0;0;0.0.0.0;0;49870;481582932;347;985;0;18;0;0;0.0.0.0;1478086374127;1478086374088;39;
0;0;0.0.0.0;0;49870;481582932;347;985;0;18;1;0;0.0.0.0;1478086374127;1478086374088;39;
0;0;0.0.0.0;0;49870;481582932;347;985;0;18;2;0;0.0.0.0;1478086374127;1478086374088;39;
0;0;0.0.0.0;0;49870;481582932;347;985;0;18;3;0;0.0.0.0;1478086374128;1478086374088;40;
0;0;0.0.0.0;0;49870;481582932;347;985;0;19;0;0;0.0.0.0;1478086374128;1478086374088;40;
0;0;0.0.0.0;0;49870;481582932;347;985;0;19;1;0;0.0.0.0;1478086374128;1478086374088;40;
