Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;CurrentTime;SystemStart;Duration
0;0;0.0.0.0;0;49870;481582932;347;985;0;19;2;0;0.0.0.0;1478086374128;1478086374088;40;
0;0;0.0.0.0;0;49870;481582932;347;985;0;19;3;0;0.0.0.0;1478086374128;1478086374088;40;
0;0;0.0.0.0;0;49870;481582932;347;985;0;20;0;0;0.0.0.0;1478086374129;1478086374088;41;
0;0;0.0.0.0;0;49870;481582932;347;985;0;20;1;0;0.0.0.0;1478086374129;1478086374088;41;
0;0;0.0.0.0;0;49870;481582932;347;985;0;20;2;0;0.0.0.0;1478086374129;1478086374088;41;
0;0;0.0.0.0;0;49870;481582932;347;985;0;20;3;0;0.0.0.0;1478086374129;1478086374088;41;
0;0;0.0.0.0;0;49870;481582932;347;985;0;21;0;0;0.0.0.0;1478086374130;1478086374088;42;
0;0;0.0.0.0;0;49870;481582932;347;985;0;21;1;0;0.0.0.0;1478086374130;1478086374088;42;
0;0;0.0.0.0;0;49870;481582932;347;985;0;21;2;0;0.0.0.0;1478086374130;1478086374088;42;
0;0;0.0.0.0;0;49870;481582932;347;985;0;21;3;0;0.0.0.0;1478086374130;1478086374088;42;
0;0;0.0.0.0;0;49870;481582932;347;985;0;22;0;0;0.0.0.0;1478086374130;1478086374088;42;
0;0;0.0.0.0;0;49870;481582932;347;985;0;22;1;0;0.0.0.0;1478086374131;1478086374088;43;
0;0;0.0.0.0;0;49870;481582932;347;985;0;22;2;0;0.0.0.0;1478086374131;1478086374088;43;
0;0;0.0.0.0;0;49870;481582932;347;985;0;22;3;0;0.0.0.0;1478086374131;1478086374088;43;
0;0;0.0.0.0;0;49870;481582932;347;985;0;23;0;0;0.0.0.0;1478086374131;1478086374088;43;
0;0;0.0.0.0;0;49870;481582932;347;985;0;23;1;0;0.0.0.0;1478086374131;1478086374088;43;
0;0;0.0.0.0;0;49870;481582932;347;985;0;23;2;0;0.0.0.0;1478086374131;1478086374088;43;
0;0;0.0.0.0;0;49870;481582932;347;985;0;23;3;0;0.0.0.0;1478086374131;1478086374088;43;
0;0;0.0.0.0;0;49870;481582932;347;985;0;24;0;0;0.0.0.0;1478086374132;1478086374088;44;
0;0;0.0.0.0;0;49870;481582932;347;985;0;24;1;0;0.0.0.0;1478086374132;1478086374088;44;
0;0;0.0.0.0;0;49870;481582932;347;985;0;24;2;0;0.0.0.0;1478086374132;1478086374088;44;
0;0;0.0.0.0;0;49870;481582932;347;985;0;24;3;0;0.0.0.0;1478086374132;1478086374088;44;
0;0;0.0.0.0;0;49870;481582932;347;985;0;25;0;0;0.0.0.0;1478086374133;1478086374088;45;
0;0;0.0.0.0;0;49870;481582932;347;985;0;25;1;0;0.0.0.0;1478086374133;1478086374088;45;
0;0;0.0.0.0;0;49870;481582932;347;985;0;25;2;0;0.0.0.0;1478086374133;1478086374088;45;
0;0;0.0.0.0;0;49870;481582932;347;985;0;25;3;0;0.0.0.0;1478086374133;1478086374088;45;
0;0;0.0.0.0;0;49870;481582932;347;985;0;26;0;0;0.0.0.0;1478086374133;1478086374088;45;
0;0;0.0.0.0;0;49870;481582932;347;985;0;26;1;0;0.0.0.0;1478086374133;1478086374088;45;
0;0;0.0.0.0;0;49870;481582932;347;985;0;26;2;0;0.0.0.0;1478086374133;1478086374088;45;
0;0;0.0.0.0;0;49870;481582932;347;985;0;26;3;0;0.0.0.0;1478086374133;1478086374088;45;
0;0;0.0.0.0;0;49870;481582932;347;985;0;27;0;0;0.0.0.0;1478086374134;1478086374088;46;
0;0;0.0.0.0;0;49870;481582932;347;985;0;27;1;0;0.0.0.0;1478086374134;1478086374088;46;
0;0;0.0.0.0;0;49870;481582932;347;985;0;27;2;0;0.0.0.0;1478086374134;1478086374088;46;
0;0;0.0.0.0;0;49870;481582932;347;985;0;27;3;0;0.0.0.0;1478086374134;1478086374088;46;
0;0;0.0.0.0;0;49870;481582932;347;985;0;28;0;0;0.0.0.0;1478086374134;1478086374088;46;
0;0;0.0.0.0;0;49870;481582932;347;985;0;28;1;0;0.0.0.0;1478086374134;1478086374088;46;
0;0;0.0.0.0;0;49870;481582932;347;985;0;28;2;0;0.0.0.0;1478086374134;1478086374088;46;
0;0;0.0.0.0;0;49870;481582932;347;985;0;28;3;0;0.0.0.0;1478086374134;1478086374088;46;
0;0;0.0.0.0;0;49870;481582932;347;985;0;29;0;0;0.0.0.0;1478086374135;1478086374088;47;
0;0;0.0.0.0;0;49870;481582932;347;985;0;29;1;0;0.0.0.0;1478086374135;1478086374088;47;
0;0;0.0.0.0;0;49870;481582932;347;985;0;29;2;0;0.0.0.0;1478086374135;1478086374088;47;
0;0;0.0.0.0;0;49870;481582932;347;985;0;29;3;0;0.0.0.0;1478086374135;1478086374088;47;
0;0;0.0.0.0;0;49870;481582932;347;985;0;30;0;0;0.0.0.0;1478086374135;1478086374088;47;
0;0;0.0.0.0;0;49870;481582932;347;985;0;30;1;0;0.0.0.0;1478086374136;1478086374088;48;
0;0;0.0.0.0;0;49870;481582932;347;985;0;30;2;0;0.0.0.0;1478086374136;1478086374088;48;
0;0;0.0.0.0;0;49870;481582932;347;985;0;30;3;0;0.0.0.0;1478086374136;1478086374088;48;
0;0;0.0.0.0;0;49870;481582932;347;985;0;31;0;0;0.0.0.0;1478086374136;1478086374088;48;
0;0;0.0.0.0;0;49870;481582932;347;985;0;31;1;0;0.0.0.0;1478086374137;1478086374088;49;
0;0;0.0.0.0;0;49870;481582932;347;985;0;31;2;0;0.0.0.0;1478086374137;1478086374088;49;
0;0;0.0.0.0;0;49870;481582932;347;985;0;31;3;0;0.0.0.0;1478086374137;1478086374088;49;
0;0;0.0.0.0;0;49870;481582932;347;985;0;32;0;0;0.0.0.0;1478086374137;1478086374088;49;
0;0;0.0.0.0;0;49870;481582932;347;985;0;32;1;0;0.0.0.0;1478086374138;1478086374088;50;
0;0;0.0.0.0;0;49870;481582932;347;985;0;32;2;0;0.0.0.0;1478086374142;1478086374088;54;
0;0;0.0.0.0;0;49870;481582932;347;985;0;32;3;0;0.0.0.0;1478086374143;1478086374088;55;
0;0;0.0.0.0;0;49870;481582932;347;985;0;33;0;0;0.0.0.0;1478086374144;1478086374088;56;
0;0;0.0.0.0;0;49870;481582932;347;985;0;33;1;0;0.0.0.0;1478086374144;1478086374088;56;
0;0;0.0.0.0;0;49870;481582932;347;985;0;33;2;0;0.0.0.0;1478086374144;1478086374088;56;
0;0;0.0.0.0;0;49870;481582932;347;985;0;33;3;0;0.0.0.0;1478086374144;1478086374088;56;
0;0;0.0.0.0;0;49870;481582932;347;985;0;34;0;0;0.0.0.0;1478086374150;1478086374088;62;
0;0;0.0.0.0;0;49870;481582932;347;985;0;34;1;0;0.0.0.0;1478086374150;1478086374088;62;
0;0;0.0.0.0;0;49870;481582932;347;985;0;34;2;0;0.0.0.0;1478086374150;1478086374088;62;
0;0;0.0.0.0;0;49870;481582932;347;985;0;34;3;0;0.0.0.0;1478086374151;1478086374088;63;
0;0;0.0.0.0;0;49870;481582932;347;985;0;35;0;0;0.0.0.0;1478086374152;1478086374088;64;
0;0;0.0.0.0;0;49870;481582932;347;985;0;35;1;0;0.0.0.0;1478086374152;1478086374088;64;
0;0;0.0.0.0;0;49870;481582932;347;985;0;35;2;0;0.0.0.0;1478086374153;1478086374088;65;
0;0;0.0.0.0;0;49870;481582932;347;985;0;35;3;0;0.0.0.0;1478086374153;1478086374088;65;
0;0;0.0.0.0;0;49870;481582932;347;985;0;36;0;0;0.0.0.0;1478086374153;1478086374088;65;
0;0;0.0.0.0;0;49870;481582932;347;985;0;36;1;0;0.0.0.0;1478086374153;1478086374088;65;
0;0;0.0.0.0;0;49870;481582932;347;985;0;36;2;0;0.0.0.0;1478086374153;1478086374088;65;
0;0;0.0.0.0;0;49870;481582932;347;985;0;36;3;0;0.0.0.0;1478086374153;1478086374088;65;
0;0;0.0.0.0;0;49870;481582932;347;985;0;37;0;0;0.0.0.0;1478086374154;1478086374088;66;
0;0;0.0.0.0;0;49870;481582932;347;985;0;37;1;0;0.0.0.0;1478086374154;1478086374088;66;
0;0;0.0.0.0;0;49870;481582932;347;985;0;37;2;0;0.0.0.0;1478086374154;1478086374088;66;
0;0;0.0.0.0;0;49870;481582932;347;985;0;37;3;0;0.0.0.0;1478086374154;1478086374088;66;
0;0;0.0.0.0;0;49870;481582932;347;985;0;38;0;0;0.0.0.0;1478086374155;1478086374088;67;
0;0;0.0.0.0;0;49870;481582932;347;985;0;38;1;0;0.0.0.0;1478086374155;1478086374088;67;
0;0;0.0.0.0;0;49870;481582932;347;985;0;38;2;0;0.0.0.0;1478086374155;1478086374088;67;
0;0;0.0.0.0;0;49870;481582932;347;985;0;38;3;0;0.0.0.0;1478086374155;1478086374088;67;
0;0;0.0.0.0;0;49870;481582932;347;985;0;39;0;0;0.0.0.0;1478086374155;1478086374088;67;
0;0;0.0.0.0;0;49870;481582932;347;985;0;39;1;0;0.0.0.0;1478086374155;1478086374088;67;
0;0;0.0.0.0;0;49870;481582932;347;985;0;39;2;0;0.0.0.0;1478086374155;1478086374088;67;
0;0;0.0.0.0;0;49870;481582932;347;985;0;39;3;0;0.0.0.0;1478086374155;1478086374088;67;
0;0;0.0.0.0;0;49870;481582932;347;985;0;40;0;0;0.0.0.0;1478086374156;1478086374088;68;
0;0;0.0.0.0;0;49870;481582932;347;985;0;40;1;0;0.0.0.0;1478086374156;1478086374088;68;
0;0;0.0.0.0;0;49870;481582932;347;985;0;40;2;0;0.0.0.0;1478086374156;1478086374088;68;
0;0;0.0.0.0;0;49870;481582932;347;985;0;40;3;0;0.0.0.0;1478086374156;1478086374088;68;
0;15;127.0.0.1;0;49870;481582932;347;985;1235;2;0;1;127.0.0.1;1478086374563;1478086374088;475;
0;15;127.0.0.1;0;49870;481582932;347;985;1110;5;0;3;127.0.0.1;1478086375740;1478086374088;1652;
