Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;433058697;15;3;0;0;0;0;0.0.0.0;1445028982650;1445028982649;1;
0;0;0.0.0.0;0;32692;433058697;15;3;0;1;0;0;0.0.0.0;1445028982651;1445028982649;2;
0;0;0.0.0.0;0;32692;433058697;15;3;0;1;1;0;0.0.0.0;1445028982651;1445028982649;2;
0;0;0.0.0.0;0;32692;433058697;15;3;0;1;2;0;0.0.0.0;1445028982651;1445028982649;2;
0;0;0.0.0.0;0;32692;433058697;15;3;0;1;3;0;0.0.0.0;1445028982651;1445028982649;2;
