Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;1942881747;347;985;0;0;0;0;0.0.0.0;1445028861676;1445028861675;1;
0;0;0.0.0.0;0;32662;1942881747;347;985;0;1;0;0;0.0.0.0;1445028861678;1445028861675;3;
0;0;0.0.0.0;0;32662;1942881747;347;985;0;1;1;0;0.0.0.0;1445028861678;1445028861675;3;
0;0;0.0.0.0;0;32662;1942881747;347;985;0;1;2;0;0.0.0.0;1445028861678;1445028861675;3;
0;0;0.0.0.0;0;32662;1942881747;347;985;0;1;3;0;0.0.0.0;1445028861678;1445028861675;3;
