Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;1015144276;347;985;0;0;0;0;0.0.0.0;1445028879759;1445028879758;1;
0;0;0.0.0.0;0;32667;1015144276;347;985;0;1;0;0;0.0.0.0;1445028879763;1445028879758;5;
0;0;0.0.0.0;0;32667;1015144276;347;985;0;1;1;0;0.0.0.0;1445028879763;1445028879758;5;
0;0;0.0.0.0;0;32667;1015144276;347;985;0;1;2;0;0.0.0.0;1445028879763;1445028879758;5;
0;0;0.0.0.0;0;32667;1015144276;347;985;0;1;3;0;0.0.0.0;1445028879763;1445028879758;5;
