Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;100179134;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1502372774177;1502372774176;1;
0;0;0.0.0.0;0;50824;100179134;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1502372774179;1502372774176;3;
0;15;127.0.0.1;0;50824;100179134;347;985;13815;1;0;1;127.0.0.1;0;3086;0;4;0;1502372777287;1502372774176;3111;
0;-1;0.0.0.0.;0;50824;100179134;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1502372777298;1502372774176;3122;
