Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;1417396435;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1500887070865;1500887070859;6;
0;0;0.0.0.0;0;58844;1417396435;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1500887070870;1500887070859;11;
0;15;127.0.0.1;0;58844;1417396435;347;985;13815;1;0;1;127.0.0.1;0;10156;0;11;0;1500887081043;1500887070859;10184;
0;-1;0.0.0.0.;0;58844;1417396435;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1500887081056;1500887070859;10197;
